time_materials_video,time_materials_document,time_materials_article,labels
22551.0,5683.0,21321.0,"['Aktif', 'Visual']"
0.0,36562.0,0.0,"['Reflektif', 'Verbal']"
0.0,0.0,0.0,"['Reflektif', 'Visual']"
0.0,14060.0,0.0,"['Reflektif', 'Verbal']"
0.0,2071.0,0.0,"['Reflektif', 'Verbal']"
0.0,1728.0,0.0,"['Reflektif', 'Verbal']"
1108.0,95.0,0.0,"['Reflektif', 'Visual']"
0.0,2364.0,0.0,"['Aktif', 'Verbal']"
60.0,4456.0,156.0,"['Reflektif', 'Verbal']"
0.0,2195.0,0.0,"['Reflektif', 'Verbal']"
0.0,10061.0,0.0,"['Reflektif', 'Verbal']"
0.0,6267.0,0.0,"['Reflektif', 'Verbal']"
0.0,2788.0,0.0,"['Aktif', 'Verbal']"
0.0,2660.0,0.0,"['Aktif', 'Verbal']"
0.0,6447.0,0.0,"['Aktif', 'Verbal']"
0.0,746.0,0.0,"['Reflektif', 'Verbal']"
0.0,0.0,0.0,"['Aktif', 'Verbal']"
0.0,7147.0,0.0,"['Aktif', 'Visual']"
0.0,0.0,0.0,"['Reflektif', 'Verbal']"
0.0,0.0,0.0,"['Reflektif', 'Visual']"
0.0,650.0,0.0,"['Reflektif', 'Verbal']"
0.0,3925.0,0.0,"['Aktif', 'Verbal']"
15.0,8885.0,0.0,"['Reflektif', 'Verbal']"
5.0,37137.0,0.0,"['Aktif', 'Verbal']"
5.0,558.0,0.0,"['Reflektif', 'Visual']"
0.0,4936.0,0.0,"['Reflektif', 'Verbal']"
0.0,6856.0,0.0,"['Reflektif', 'Verbal']"
0.0,7303.0,0.0,"['Reflektif', 'Verbal']"
0.0,2220.0,0.0,"['Reflektif', 'Verbal']"
5.0,3798.0,0.0,"['Reflektif', 'Visual']"
10.0,2925.0,0.0,"['Reflektif', 'Verbal']"
35.0,22802.0,0.0,"['Reflektif', 'Verbal']"
0.0,0.0,0.0,"['Reflektif', 'Verbal']"
0.0,0.0,0.0,"['Aktif', 'Verbal']"
0.0,7109.0,0.0,"['Reflektif', 'Visual']"
10.0,5518.0,0.0,"['Reflektif', 'Visual']"
5.0,4242.0,0.0,"['Reflektif', 'Verbal']"
5.0,1866.0,0.0,"['Reflektif', 'Verbal']"
0.0,7144.0,0.0,"['Reflektif', 'Visual']"
0.0,11113.0,0.0,"['Reflektif', 'Verbal']"
0.0,2989.0,0.0,"['Reflektif', 'Verbal']"
0.0,0.0,0.0,"['Reflektif', 'Verbal']"
0.0,6631.0,0.0,"['Aktif', 'Verbal']"
20.0,11895.0,0.0,"['Reflektif', 'Verbal']"
1339.0,9632.0,0.0,"['Reflektif', 'Verbal']"
0.0,3065.0,0.0,"['Aktif', 'Verbal']"
0.0,6631.0,0.0,"['Aktif', 'Verbal']"
0.0,2487.0,0.0,"['Reflektif', 'Visual']"
606.0,7120.0,0.0,"['Reflektif', 'Verbal']"
62535.0,14480.0,0.0,"['Reflektif', 'Verbal']"
0.0,0.0,0.0,"['Reflektif', 'Verbal']"
0.0,0.0,0.0,"['Reflektif', 'Verbal']"
1333.0,10.0,278.0,"['Reflektif', 'Visual']"
0.0,10024.0,0.0,"['Aktif', 'Verbal']"
10.0,2925.0,0.0,"['Reflektif', 'Verbal']"
0.0,7510.0,0.0,"['Aktif', 'Verbal']"
5.0,3798.0,0.0,"['Reflektif', 'Visual']"
0.0,13656.0,0.0,"['Aktif', 'Verbal']"
0.0,215322.0,0.0,"['Aktif', 'Verbal']"
0.0,2220.0,0.0,"['Aktif', 'Verbal']"
35.0,7871.0,0.0,"['Reflektif', 'Verbal']"
0.0,185355.0,0.0,"['Reflektif', 'Verbal']"
0.0,6856.0,0.0,"['Aktif', 'Verbal']"
0.0,2446.0,0.0,"['Reflektif', 'Verbal']"
5.0,4320.0,0.0,"['Reflektif', 'Verbal']"
35.0,22802.0,0.0,"['Reflektif', 'Verbal']"
35.0,26233.0,0.0,"['Aktif', 'Verbal']"
0.0,36562.0,0.0,"['Reflektif', 'Verbal']"
0.0,0.0,0.0,"['Reflektif', 'Verbal']"
0.0,0.0,0.0,"['Reflektif', 'Visual']"
0.0,0.0,0.0,"['Reflektif', 'Verbal']"
0.0,0.0,0.0,"['Reflektif', 'Visual']"
0.0,0.0,0.0,"['Reflektif', 'Visual']"
0.0,0.0,0.0,"['Aktif', 'Verbal']"
0.0,0.0,0.0,"['Reflektif', 'Verbal']"
0.0,0.0,0.0,"['Reflektif', 'Verbal']"
0.0,0.0,0.0,"['Reflektif', 'Verbal']"
0.0,0.0,0.0,"['Reflektif', 'Verbal']"
0.0,0.0,0.0,"['Reflektif', 'Verbal']"
0.0,0.0,0.0,"['Reflektif', 'Verbal']"
0.0,0.0,0.0,"['Aktif', 'Verbal']"
0.0,0.0,0.0,"['Reflektif', 'Verbal']"
0.0,0.0,0.0,"['Reflektif', 'Visual']"
0.0,0.0,0.0,"['Reflektif', 'Verbal']"
0.0,0.0,0.0,"['Reflektif', 'Verbal']"
0.0,0.0,0.0,"['Reflektif', 'Visual']"
0.0,0.0,0.0,"['Aktif', 'Verbal']"
0.0,0.0,0.0,"['Reflektif', 'Verbal']"
0.0,0.0,0.0,"['Reflektif', 'Verbal']"
0.0,0.0,0.0,"['Reflektif', 'Verbal']"
0.0,0.0,0.0,"['Reflektif', 'Verbal']"
0.0,0.0,0.0,"['Aktif', 'Verbal']"
0.0,0.0,0.0,"['Reflektif', 'Verbal']"
0.0,0.0,0.0,"['Reflektif', 'Verbal']"
0.0,0.0,0.0,"['Reflektif', 'Verbal']"
0.0,0.0,0.0,"['Aktif', 'Verbal']"
0.0,0.0,0.0,"['Reflektif', 'Verbal']"
0.0,0.0,0.0,"['Reflektif', 'Verbal']"
0.0,0.0,0.0,"['Reflektif', 'Verbal']"
0.0,0.0,0.0,"['Reflektif', 'Verbal']"
0.0,0.0,0.0,"['Reflektif', 'Verbal']"
0.0,0.0,0.0,"['Reflektif', 'Verbal']"
0.0,0.0,0.0,"['Reflektif', 'Verbal']"
22551.0,5683.0,21321.0,"['Reflektif', 'Verbal']"
0.0,0.0,0.0,"['Aktif', 'Visual']"
0.0,6631.0,0.0,"['Reflektif', 'Visual']"
0.0,0.0,0.0,"['Reflektif', 'Verbal']"
0.0,0.0,0.0,"['Reflektif', 'Verbal']"
0.0,0.0,0.0,"['Reflektif', 'Visual']"
0.0,0.0,0.0,"['Reflektif', 'Visual']"
0.0,0.0,0.0,"['Aktif', 'Visual']"
0.0,0.0,0.0,"['Aktif', 'Verbal']"
0.0,0.0,0.0,"['Reflektif', 'Visual']"
0.0,0.0,0.0,"['Reflektif', 'Verbal']"
0.0,0.0,0.0,"['Reflektif', 'Visual']"
0.0,0.0,0.0,"['Aktif', 'Verbal']"
0.0,0.0,0.0,"['Reflektif', 'Verbal']"
0.0,0.0,0.0,"['Reflektif', 'Visual']"
0.0,0.0,0.0,"['Reflektif', 'Verbal']"
0.0,0.0,0.0,"['Reflektif', 'Verbal']"
0.0,0.0,0.0,"['Reflektif', 'Verbal']"
0.0,0.0,0.0,"['Reflektif', 'Visual']"
0.0,0.0,0.0,"['Aktif', 'Verbal']"
0.0,0.0,0.0,"['Aktif', 'Visual']"
0.0,7147.0,0.0,"['Aktif', 'Visual']"
0.0,7147.0,0.0,"['Aktif', 'Visual']"
0.0,7147.0,0.0,"['Aktif', 'Visual']"
22551.0,5683.0,21321.0,"['Aktif', 'Visual']"
0.0,7147.0,0.0,"['Aktif', 'Visual']"
22551.0,5683.0,21321.0,"['Aktif', 'Visual']"
0.0,7147.0,0.0,"['Aktif', 'Visual']"
0.0,0.0,0.0,"['Aktif', 'Visual']"
0.0,0.0,0.0,"['Aktif', 'Visual']"
0.0,0.0,0.0,"['Aktif', 'Visual']"
0.0,0.0,0.0,"['Aktif', 'Visual']"
10.0,5518.0,0.0,"['Reflektif', 'Visual']"
0.0,0.0,0.0,"['Reflektif', 'Visual']"
0.0,7144.0,0.0,"['Reflektif', 'Visual']"
0.0,0.0,0.0,"['Reflektif', 'Visual']"
0.0,0.0,0.0,"['Reflektif', 'Visual']"
0.0,0.0,0.0,"['Reflektif', 'Visual']"
0.0,6631.0,0.0,"['Reflektif', 'Visual']"
5.0,558.0,0.0,"['Reflektif', 'Visual']"
0.0,0.0,0.0,"['Reflektif', 'Visual']"
0.0,7144.0,0.0,"['Reflektif', 'Visual']"
5.0,558.0,0.0,"['Reflektif', 'Visual']"
1108.0,95.0,0.0,"['Reflektif', 'Visual']"
0.0,7109.0,0.0,"['Reflektif', 'Visual']"
0.0,0.0,0.0,"['Reflektif', 'Visual']"
1333.0,10.0,278.0,"['Reflektif', 'Visual']"
5.0,558.0,0.0,"['Reflektif', 'Visual']"
0.0,0.0,0.0,"['Reflektif', 'Visual']"
0.0,0.0,0.0,"['Reflektif', 'Visual']"
0.0,0.0,0.0,"['Reflektif', 'Visual']"
1108.0,95.0,0.0,"['Reflektif', 'Visual']"
1333.0,10.0,278.0,"['Reflektif', 'Visual']"
5.0,558.0,0.0,"['Reflektif', 'Visual']"
0.0,0.0,0.0,"['Reflektif', 'Visual']"
0.0,0.0,0.0,"['Reflektif', 'Visual']"
0.0,0.0,0.0,"['Reflektif', 'Visual']"
0.0,7144.0,0.0,"['Reflektif', 'Visual']"
0.0,0.0,0.0,"['Reflektif', 'Visual']"
0.0,0.0,0.0,"['Reflektif', 'Visual']"
0.0,7144.0,0.0,"['Reflektif', 'Visual']"
0.0,0.0,0.0,"['Reflektif', 'Visual']"
0.0,0.0,0.0,"['Reflektif', 'Visual']"
0.0,0.0,0.0,"['Reflektif', 'Visual']"
0.0,0.0,0.0,"['Reflektif', 'Visual']"
0.0,0.0,0.0,"['Reflektif', 'Visual']"
0.0,0.0,0.0,"['Reflektif', 'Visual']"
0.0,0.0,0.0,"['Reflektif', 'Visual']"
0.0,2487.0,0.0,"['Reflektif', 'Visual']"
0.0,0.0,0.0,"['Reflektif', 'Visual']"
0.0,0.0,0.0,"['Reflektif', 'Visual']"
0.0,0.0,0.0,"['Reflektif', 'Visual']"
10.0,5518.0,0.0,"['Reflektif', 'Visual']"
0.0,2487.0,0.0,"['Reflektif', 'Visual']"
0.0,0.0,0.0,"['Reflektif', 'Visual']"
0.0,0.0,0.0,"['Reflektif', 'Visual']"
0.0,7144.0,0.0,"['Reflektif', 'Visual']"
5.0,3798.0,0.0,"['Reflektif', 'Visual']"
0.0,0.0,0.0,"['Reflektif', 'Visual']"
0.0,6631.0,0.0,"['Reflektif', 'Visual']"
0.0,7144.0,0.0,"['Reflektif', 'Visual']"
0.0,2660.0,0.0,"['Aktif', 'Verbal']"
0.0,2660.0,0.0,"['Aktif', 'Verbal']"
0.0,2364.0,0.0,"['Aktif', 'Verbal']"
0.0,0.0,0.0,"['Aktif', 'Verbal']"
0.0,3065.0,0.0,"['Aktif', 'Verbal']"
5.0,37137.0,0.0,"['Aktif', 'Verbal']"
0.0,0.0,0.0,"['Aktif', 'Verbal']"
0.0,6631.0,0.0,"['Aktif', 'Verbal']"
5.0,37137.0,0.0,"['Aktif', 'Verbal']"
0.0,6631.0,0.0,"['Aktif', 'Verbal']"
0.0,0.0,0.0,"['Aktif', 'Verbal']"
0.0,10024.0,0.0,"['Aktif', 'Verbal']"
0.0,2788.0,0.0,"['Aktif', 'Verbal']"
0.0,2364.0,0.0,"['Aktif', 'Verbal']"
0.0,2220.0,0.0,"['Aktif', 'Verbal']"
0.0,0.0,0.0,"['Aktif', 'Verbal']"
0.0,0.0,0.0,"['Aktif', 'Verbal']"
0.0,0.0,0.0,"['Aktif', 'Verbal']"
0.0,0.0,0.0,"['Aktif', 'Verbal']"
0.0,2660.0,0.0,"['Aktif', 'Verbal']"
0.0,10024.0,0.0,"['Aktif', 'Verbal']"
0.0,0.0,0.0,"['Aktif', 'Verbal']"
0.0,0.0,0.0,"['Aktif', 'Verbal']"
0.0,2660.0,0.0,"['Aktif', 'Verbal']"
0.0,2364.0,0.0,"['Aktif', 'Verbal']"
0.0,2660.0,0.0,"['Aktif', 'Verbal']"
0.0,0.0,0.0,"['Aktif', 'Verbal']"
0.0,215322.0,0.0,"['Aktif', 'Verbal']"
0.0,13656.0,0.0,"['Aktif', 'Verbal']"
0.0,2660.0,0.0,"['Aktif', 'Verbal']"
0.0,2364.0,0.0,"['Aktif', 'Verbal']"
0.0,0.0,0.0,"['Aktif', 'Verbal']"
0.0,0.0,0.0,"['Aktif', 'Verbal']"
0.0,0.0,0.0,"['Aktif', 'Verbal']"
0.0,13656.0,0.0,"['Aktif', 'Verbal']"
5.0,37137.0,0.0,"['Aktif', 'Verbal']"
0.0,6631.0,0.0,"['Aktif', 'Verbal']"
0.0,215322.0,0.0,"['Aktif', 'Verbal']"
0.0,215322.0,0.0,"['Aktif', 'Verbal']"
0.0,0.0,0.0,"['Aktif', 'Verbal']"
0.0,3065.0,0.0,"['Aktif', 'Verbal']"
0.0,7510.0,0.0,"['Aktif', 'Verbal']"
0.0,0.0,0.0,"['Aktif', 'Verbal']"
5.0,37137.0,0.0,"['Aktif', 'Verbal']"
0.0,6856.0,0.0,"['Aktif', 'Verbal']"
0.0,0.0,0.0,"['Aktif', 'Verbal']"
